Condition;Emotion;Subject;RT;Valence;Session;Group
Baseline;Neutral;18VJU;6.2299999999999995;5.7;2;1
Think;Disgust;18VJU;6.784000000000001;2.6;2;1
No-Think;Disgust;18VJU;6.26;2.6;2;1
Baseline;Disgust;18VJU;5.3575;4.0;2;1
Think;Sadness;18VJU;6.096666666666667;1.6666666666666667;2;1
No-Think;Sadness;18VJU;6.146666666666667;3.3333333333333335;2;1
Baseline;Sadness;18VJU;6.168333333333333;2.6666666666666665;2;1
Think;Neutral;19MCO;7.67;5.083333333333333;2;1
No-Think;Neutral;19MCO;7.5;5.25;2;1
Baseline;Neutral;19MCO;7.816999999999998;5.333333333333333;2;1
Think;Disgust;19MCO;6.556;3.8333333333333335;2;1
No-Think;Disgust;19MCO;7.2700000000000005;5.0;2;1
Baseline;Disgust;19MCO;7.913333333333334;4.833333333333333;2;1
Think;Sadness;19MCO;7.920000000000001;3.0;2;1
No-Think;Sadness;19MCO;8.058;3.0;2;1
Baseline;Sadness;19MCO;6.2;4.0;2;1
Think;Neutral;21MVA;6.6375;5.166666666666667;2;1
No-Think;Neutral;21MVA;6.426363636363638;5.090909090909091;2;1
Baseline;Neutral;21MVA;6.6674999999999995;5.333333333333333;2;1
Think;Disgust;21MVA;7.49;4.0;2;1
No-Think;Disgust;21MVA;7.303333333333334;4.666666666666667;2;1
Baseline;Disgust;21MVA;6.442500000000001;4.75;2;1
Think;Sadness;21MVA;7.466666666666668;3.8333333333333335;2;1
No-Think;Sadness;21MVA;7.162000000000001;4.0;2;1
Baseline;Sadness;21MVA;6.7799999999999985;4.0;2;1
Think;Neutral;22DME;7.581999999999999;4.666666666666667;2;1
No-Think;Neutral;22DME;7.835;5.25;2;1
Baseline;Neutral;22DME;7.382000000000001;5.0;2;1
Think;Disgust;22DME;7.726666666666667;2.8333333333333335;2;1
No-Think;Disgust;22DME;6.1575;2.25;2;1
Baseline;Disgust;22DME;8.413333333333332;3.5;2;1
Think;Sadness;22DME;7.68;2.4;2;1
No-Think;Sadness;22DME;7.415;2.8333333333333335;2;1
Baseline;Sadness;22DME;6.4174999999999995;4.0;2;1
Think;Neutral;23RGR;7.076666666666666;4.777777777777778;2;1
No-Think;Neutral;23RGR;7.019090909090909;4.363636363636363;2;1
Baseline;Neutral;23RGR;7.538181818181818;5.0;2;1
Think;Disgust;23RGR;7.46;2.5;2;1
No-Think;Disgust;23RGR;7.436666666666667;3.3333333333333335;2;1
Baseline;Disgust;23RGR;8.145;3.0;2;1
Think;Sadness;23RGR;7.090000000000001;2.3333333333333335;2;1
No-Think;Sadness;23RGR;7.564;2.8;2;1
Baseline;Sadness;23RGR;6.703333333333333;3.0;2;1
Think;Neutral;24TEM;6.821111111111112;8.2;2;1
No-Think;Neutral;24TEM;7.259;5.545454545454546;2;1
Baseline;Neutral;24TEM;7.3825;4.666666666666667;2;1
Think;Disgust;24TEM;7.796666666666667;2.1666666666666665;2;1
No-Think;Disgust;24TEM;6.2075;1.25;2;1
Baseline;Disgust;24TEM;7.847999999999999;1.5;2;1
Think;Sadness;24TEM;6.98;2.0;2;1
No-Think;Sadness;24TEM;6.884;2.2;2;1
Baseline;Sadness;24TEM;6.148000000000001;1.4;2;1
Think;Neutral;25LLU;7.072727272727274;5.75;2;1
No-Think;Neutral;25LLU;6.847999999999999;4.0;2;1
Baseline;Neutral;25LLU;6.543333333333334;5.75;2;1
Think;Disgust;25LLU;7.7875000000000005;3.0;2;1
No-Think;Disgust;25LLU;7.941666666666666;3.5;2;1
Baseline;Disgust;25LLU;6.376;3.0;2;1
Think;Sadness;25LLU;7.370000000000001;3.0;2;1
No-Think;Sadness;25LLU;8.836;4.6;2;1
Baseline;Sadness;25LLU;7.208333333333333;3.0;2;1
Think;Neutral;26JET;7.2188888888888885;4.222222222222222;2;1
No-Think;Neutral;26JET;6.540833333333333;5.416666666666667;2;1
Baseline;Neutral;26JET;6.629166666666667;5.416666666666667;2;1
Think;Disgust;26JET;7.438333333333333;2.6666666666666665;2;1
No-Think;Disgust;26JET;5.242;2.8;2;1
Baseline;Disgust;26JET;6.145;2.3333333333333335;2;1
Think;Sadness;26JET;5.754;2.2;2;1
No-Think;Sadness;26JET;5.508333333333334;2.5;2;1
Baseline;Sadness;26JET;6.293333333333333;2.1666666666666665;2;1
Think;Neutral;27GMA;7.131666666666667;4.0;2;1
No-Think;Neutral;27GMA;7.2070000000000025;6.3;2;1
Baseline;Neutral;27GMA;7.881818181818181;4.2727272727272725;2;1
Think;Disgust;27GMA;6.1875;2.6;2;1
No-Think;Disgust;27GMA;6.2700000000000005;1.6666666666666667;2;1
Baseline;Disgust;27GMA;8.17;2.2;2;1
Think;Sadness;27GMA;6.296666666666667;2.6666666666666665;2;1
No-Think;Sadness;27GMA;7.394;2.2;2;1
Baseline;Sadness;27GMA;7.818333333333334;2.8333333333333335;2;1
Think;Neutral;28PJU;6.3527272727272734;5.636363636363637;2;1
No-Think;Neutral;28PJU;7.6549999999999985;5.916666666666667;2;1
Baseline;Neutral;28PJU;6.109090909090909;6.181818181818182;2;1
Think;Disgust;28PJU;7.1659999999999995;4.0;2;1
No-Think;Disgust;28PJU;6.494999999999999;3.25;2;1
Baseline;Disgust;28PJU;5.5625;3.75;2;1
Think;Sadness;28PJU;6.5920000000000005;3.2;2;1
No-Think;Sadness;28PJU;5.3933333333333335;2.1666666666666665;2;1
Baseline;Sadness;28PJU;6.385;2.5;2;1
Think;Neutral;29HJU;6.332727272727274;5.181818181818182;2;1
No-Think;Neutral;29HJU;5.932222222222222;5.0;2;1
Baseline;Neutral;29HJU;6.147500000000001;5.0;2;1
Think;Disgust;29HJU;6.418333333333334;3.0;2;1
No-Think;Disgust;29HJU;6.169999999999999;2.0;2;1
Baseline;Disgust;29HJU;6.326666666666665;2.3333333333333335;2;1
Think;Sadness;29HJU;6.364999999999999;2.6666666666666665;2;1
No-Think;Sadness;29HJU;6.173333333333333;3.0;2;1
Baseline;Sadness;29HJU;6.095;3.3333333333333335;2;1
Think;Neutral;31NLI;5.228333333333333;5.416666666666667;1;2
No-Think;Neutral;31NLI;5.861818181818182;5.363636363636363;1;2
Baseline;Neutral;31NLI;6.148333333333333;5.916666666666667;1;2
Think;Disgust;31NLI;5.6;3.5555555555555554;1;2
No-Think;Disgust;31NLI;6.167272727272728;3.8181818181818183;1;2
Baseline;Disgust;31NLI;5.447272727272727;3.3636363636363638;1;2
Think;Neutral;32CVI;4.696666666666667;7.0;1;2
No-Think;Neutral;32CVI;4.921666666666667;6.25;1;2
Baseline;Neutral;32CVI;4.632727272727273;7.090909090909091;1;2
Think;Disgust;32CVI;6.25;3.8333333333333335;1;2
No-Think;Disgust;32CVI;5.961;3.4;1;2
Baseline;Disgust;32CVI;5.571666666666666;4.0;1;2
Think;Neutral;34LME;4.4325;4.5;1;2
No-Think;Neutral;34LME;4.4750000000000005;5.0;1;2
Baseline;Neutral;34LME;4.472222222222222;5.444444444444445;1;2
Think;Disgust;34LME;5.180999999999999;3.7;1;2
No-Think;Disgust;34LME;4.852727272727273;2.8181818181818183;1;2
Baseline;Disgust;34LME;4.598181818181818;2.8181818181818183;1;2
Think;Neutral;35QSY;5.269;6.2;1;2
No-Think;Neutral;35QSY;5.392499999999999;6.083333333333333;1;2
Baseline;Neutral;35QSY;5.6875;5.666666666666667;1;2
Think;Disgust;35QSY;5.964166666666667;4.083333333333333;1;2
No-Think;Disgust;35QSY;5.991;4.2;1;2
Baseline;Disgust;35QSY;5.688333333333333;4.166666666666667;1;2
Think;Neutral;36LSA;5.077777777777778;4.0;1;2
No-Think;Neutral;36LSA;4.667272727272728;5.363636363636363;1;2
Baseline;Neutral;36LSA;4.667272727272728;6.090909090909091;1;2
Think;Disgust;36LSA;4.839166666666666;2.5;1;2
No-Think;Disgust;36LSA;4.640833333333332;2.1666666666666665;1;2
Baseline;Disgust;36LSA;4.4125;2.0;1;2
Think;Neutral;37BMA;4.2844444444444445;6.111111111111111;1;2
No-Think;Neutral;37BMA;5.43875;6.0;1;2
Baseline;Neutral;37BMA;4.603;5.7;1;2
Think;Disgust;37BMA;4.661999999999999;2.5;1;2
No-Think;Disgust;37BMA;4.8475;2.3333333333333335;1;2
Baseline;Disgust;37BMA;4.734999999999999;1.8333333333333333;1;2
Think;Neutral;38MAX;5.304545454545454;6.0;1;2
No-Think;Neutral;38MAX;5.748181818181819;6.2727272727272725;1;2
Baseline;Neutral;38MAX;5.784545454545455;6.0;1;2
Think;Disgust;38MAX;6.288333333333334;4.416666666666667;1;2
No-Think;Disgust;38MAX;6.074545454545455;4.363636363636363;1;2
Baseline;Disgust;38MAX;6.436;4.2;1;2
Think;Neutral;39BDA;4.446363636363636;5.636363636363637;1;2
No-Think;Neutral;39BDA;4.450833333333334;5.666666666666667;1;2
Baseline;Neutral;39BDA;4.348333333333334;5.5;1;2
Think;Disgust;39BDA;4.610833333333335;3.4166666666666665;1;2
No-Think;Disgust;39BDA;4.420909090909091;3.3636363636363638;1;2
Baseline;Disgust;39BDA;4.6;3.2;1;2
Think;Neutral;40MMA;6.091666666666668;6.916666666666667;1;2
No-Think;Neutral;40MMA;6.53;6.916666666666667;1;2
Baseline;Neutral;40MMA;6.2425;5.666666666666667;1;2
Think;Disgust;40MMA;7.480909090909093;3.3636363636363638;1;2
No-Think;Disgust;40MMA;7.561818181818182;3.8181818181818183;1;2
Baseline;Disgust;40MMA;7.931818181818182;3.909090909090909;1;2
Think;Neutral;41BAL;4.789090909090909;4.909090909090909;1;2
No-Think;Neutral;41BAL;4.791818181818181;5.181818181818182;1;2
Baseline;Neutral;41BAL;4.622727272727272;4.7272727272727275;1;2
Think;Disgust;41BAL;5.139166666666667;3.0;1;2
No-Think;Disgust;41BAL;5.069166666666667;3.4166666666666665;1;2
Baseline;Disgust;41BAL;4.927499999999999;3.25;1;2
Think;Neutral;42SPE;5.535833333333333;6.25;1;2
No-Think;Neutral;42SPE;5.9425;6.416666666666667;1;2
Baseline;Neutral;42SPE;5.956666666666667;4.833333333333333;1;2
Think;Disgust;42SPE;5.390833333333333;2.5833333333333335;1;2
No-Think;Disgust;42SPE;5.27375;2.75;1;2
Baseline;Disgust;42SPE;5.385454545454546;2.727272727272727;1;2
Think;Neutral;44SMU;5.053;6.5;1;2
No-Think;Neutral;44SMU;5.035833333333333;6.5;1;2
Baseline;Neutral;44SMU;5.214545454545455;6.181818181818182;1;2
Think;Disgust;44SMU;5.248181818181818;2.8181818181818183;1;2
No-Think;Disgust;44SMU;5.057;2.2;1;2
Baseline;Disgust;44SMU;5.513;3.9;1;2
Think;Neutral;45MJA;5.455;5.8;1;2
No-Think;Neutral;45MJA;5.372222222222222;5.666666666666667;1;2
Baseline;Neutral;45MJA;5.495;6.166666666666667;1;2
Think;Disgust;45MJA;6.119999999999999;3.8181818181818183;1;2
No-Think;Disgust;45MJA;5.622;3.8;1;2
Baseline;Disgust;45MJA;5.7219999999999995;4.1;1;2
Think;Neutral;46SQU;5.092727272727273;5.2727272727272725;1;2
No-Think;Neutral;46SQU;5.55;4.8;1;2
Baseline;Neutral;46SQU;5.521666666666666;4.916666666666667;1;2
Think;Disgust;46SQU;5.458181818181818;4.090909090909091;1;2
No-Think;Disgust;46SQU;5.892727272727272;4.0;1;2
Baseline;Disgust;46SQU;5.0616666666666665;3.25;1;2
Think;Neutral;47HMA;5.813333333333333;5.222222222222222;1;2
No-Think;Neutral;47HMA;5.69;5.75;1;2
Baseline;Neutral;47HMA;5.820000000000001;6.181818181818182;1;2
Think;Disgust;47HMA;5.6090909090909085;2.727272727272727;1;2
No-Think;Disgust;47HMA;5.903636363636363;3.1818181818181817;1;2
Baseline;Disgust;47HMA;5.86090909090909;2.6363636363636362;1;2
Think;Neutral;50JOC;4.605833333333333;6.0;1;2
No-Think;Neutral;50JOC;4.579166666666667;4.833333333333333;1;2
Baseline;Neutral;50JOC;4.646666666666666;5.916666666666667;1;2
Think;Disgust;50JOC;5.083333333333333;3.0833333333333335;1;2
No-Think;Disgust;50JOC;4.911666666666666;3.4166666666666665;1;2
Baseline;Disgust;50JOC;4.805;3.0833333333333335;1;2
Think;Neutral;52PFA;5.372;5.4;1;2
No-Think;Neutral;52PFA;5.920000000000001;5.818181818181818;1;2
Baseline;Neutral;52PFA;5.672727272727273;5.909090909090909;1;2
Think;Disgust;52PFA;5.3133333333333335;3.3333333333333335;1;2
No-Think;Disgust;52PFA;5.2620000000000005;3.5;1;2
Baseline;Disgust;52PFA;5.492727272727271;3.909090909090909;1;2
Think;Neutral;53SMA;4.195833333333333;5.583333333333333;1;2
No-Think;Neutral;53SMA;4.166363636363636;5.545454545454546;1;2
Baseline;Neutral;53SMA;4.236666666666666;4.666666666666667;1;2
Think;Disgust;53SMA;4.268181818181819;3.0;1;2
No-Think;Disgust;53SMA;4.353636363636364;3.5454545454545454;1;2
Baseline;Disgust;53SMA;4.151000000000001;3.0;1;2
Think;Neutral;55MNI;5.043333333333334;5.666666666666667;1;2
No-Think;Neutral;55MNI;5.1725;5.5;1;2
Baseline;Neutral;55MNI;4.82;5.25;1;2
Think;Disgust;55MNI;5.286666666666666;2.5833333333333335;1;2
No-Think;Disgust;55MNI;5.53;3.1666666666666665;1;2
Baseline;Disgust;55MNI;4.916666666666667;3.5833333333333335;1;2
Think;Neutral;56BCL;4.515833333333334;5.0;1;2
No-Think;Neutral;56BCL;4.965833333333333;5.666666666666667;1;2
Baseline;Neutral;56BCL;4.778333333333333;5.416666666666667;1;2
Think;Disgust;56BCL;4.856666666666666;2.9166666666666665;1;2
No-Think;Disgust;56BCL;4.781666666666667;3.4166666666666665;1;2
Baseline;Disgust;56BCL;4.8725;3.3333333333333335;1;2
Think;Neutral;57NCO;4.781666666666666;5.916666666666667;1;2
No-Think;Neutral;57NCO;4.7025;5.25;1;2
Baseline;Neutral;57NCO;5.295555555555556;6.333333333333333;1;2
Think;Disgust;57NCO;4.669;2.9;1;2
No-Think;Disgust;57NCO;5.156666666666666;3.3333333333333335;1;2
Baseline;Disgust;57NCO;4.910833333333334;3.5833333333333335;1;2
Think;Neutral;58BAN;5.0236363636363635;5.0;1;2
No-Think;Neutral;58BAN;4.972500000000001;5.916666666666667;1;2
Baseline;Neutral;58BAN;5.382727272727274;5.545454545454546;1;2
Think;Disgust;58BAN;5.391000000000001;3.9;1;2
No-Think;Disgust;58BAN;4.9366666666666665;3.5833333333333335;1;2
Baseline;Disgust;58BAN;4.840833333333333;4.0;1;2
Think;Neutral;59DIN;6.068333333333334;5.833333333333333;1;2
No-Think;Neutral;59DIN;6.39;5.454545454545454;1;2
Baseline;Neutral;59DIN;5.942222222222222;5.888888888888889;1;2
Think;Disgust;59DIN;7.335000000000001;2.8333333333333335;1;2
No-Think;Disgust;59DIN;7.134545454545455;3.090909090909091;1;2
Baseline;Disgust;59DIN;6.629090909090909;2.8181818181818183;1;2
Think;Neutral;60CAN;6.825555555555555;6.0;1;2
No-Think;Neutral;60CAN;5.451428571428571;7.285714285714286;1;2
Baseline;Neutral;60CAN;6.6;6.090909090909091;1;2
Think;Disgust;60CAN;6.09090909090909;2.8181818181818183;1;2
No-Think;Disgust;60CAN;6.014545454545455;3.0;1;2
Baseline;Disgust;60CAN;6.736666666666666;3.4444444444444446;1;2
Think;Neutral;31NLI;5.079090909090909;5.545454545454546;2;2
No-Think;Neutral;31NLI;5.5329999999999995;5.3;2;2
Baseline;Neutral;31NLI;6.065999999999999;6.1;2;2
Think;Disgust;31NLI;5.715454545454545;3.909090909090909;2;2
No-Think;Disgust;31NLI;6.879166666666666;3.75;2;2
Baseline;Disgust;31NLI;5.614545454545455;3.727272727272727;2;2
Think;Neutral;32CVI;4.689;6.8;2;2
No-Think;Neutral;32CVI;4.955;5.833333333333333;2;2
Baseline;Neutral;32CVI;4.682999999999999;6.4;2;2
Think;Disgust;32CVI;4.656000000000001;3.6;2;2
No-Think;Disgust;32CVI;4.679166666666666;3.75;2;2
Baseline;Disgust;32CVI;4.765;3.1;2;2
Think;Neutral;34LME;6.17;4.777777777777778;2;2
No-Think;Neutral;34LME;5.602499999999999;5.083333333333333;2;2
Baseline;Neutral;34LME;5.702727272727272;4.909090909090909;2;2
Think;Disgust;34LME;6.35;3.6363636363636362;2;2
No-Think;Disgust;34LME;5.218999999999999;3.6;2;2
Baseline;Disgust;34LME;5.194166666666667;3.75;2;2
Think;Neutral;35QSY;5.2909999999999995;6.0;2;2
No-Think;Neutral;35QSY;5.091818181818183;5.636363636363637;2;2
Baseline;Neutral;35QSY;4.955454545454545;5.636363636363637;2;2
Think;Disgust;35QSY;5.7540000000000004;3.9;2;2
No-Think;Disgust;35QSY;6.095;4.125;2;2
Baseline;Disgust;35QSY;5.8;4.142857142857143;2;2
Think;Neutral;36LSA;5.413636363636363;4.636363636363637;2;2
No-Think;Neutral;36LSA;5.478;5.5;2;2
Baseline;Neutral;36LSA;4.745555555555556;6.888888888888889;2;2
Think;Disgust;36LSA;4.89;2.8181818181818183;2;2
No-Think;Disgust;36LSA;4.315833333333333;2.8333333333333335;2;2
Baseline;Disgust;36LSA;4.75;2.0;2;2
Think;Neutral;37BMA;6.100833333333334;6.666666666666667;2;2
No-Think;Neutral;37BMA;6.049166666666668;6.416666666666667;2;2
Baseline;Neutral;37BMA;5.821666666666666;6.333333333333333;2;2
Think;Disgust;37BMA;5.582727272727271;3.0;2;2
No-Think;Disgust;37BMA;6.241818181818181;3.6363636363636362;2;2
Baseline;Disgust;37BMA;5.982499999999999;2.6666666666666665;2;2
Think;Neutral;38MAX;6.162727272727272;5.545454545454546;2;2
No-Think;Neutral;38MAX;5.695;6.166666666666667;2;2
Baseline;Neutral;38MAX;5.071;6.2;2;2
Think;Disgust;38MAX;6.270909090909091;4.818181818181818;2;2
No-Think;Disgust;38MAX;5.846666666666667;4.111111111111111;2;2
Baseline;Disgust;38MAX;5.106666666666667;4.25;2;2
Think;Neutral;39BDA;4.625000000000001;5.833333333333333;2;2
No-Think;Neutral;39BDA;4.583;5.8;2;2
Baseline;Neutral;39BDA;4.654166666666667;5.0;2;2
Think;Disgust;39BDA;4.779090909090909;3.8181818181818183;2;2
No-Think;Disgust;39BDA;4.619090909090909;3.3636363636363638;2;2
Baseline;Disgust;39BDA;4.944166666666668;3.1666666666666665;2;2
Think;Neutral;40MMA;5.829999999999999;6.083333333333333;2;2
No-Think;Neutral;40MMA;4.644444444444444;6.444444444444445;2;2
Baseline;Neutral;40MMA;6.0489999999999995;5.1;2;2
Think;Disgust;40MMA;5.978;4.3;2;2
No-Think;Disgust;40MMA;5.627000000000001;3.8;2;2
Baseline;Disgust;40MMA;6.24;4.090909090909091;2;2
Think;Neutral;41BAL;5.4675;4.916666666666667;2;2
No-Think;Neutral;41BAL;4.685833333333332;5.333333333333333;2;2
Baseline;Neutral;41BAL;4.998181818181817;4.7272727272727275;2;2
Think;Disgust;41BAL;4.505454545454546;3.8181818181818183;2;2
No-Think;Disgust;41BAL;4.712222222222222;4.111111111111111;2;2
Baseline;Disgust;41BAL;4.886666666666667;3.8333333333333335;2;2
Think;Neutral;42SPE;5.129090909090909;6.636363636363637;2;2
No-Think;Neutral;42SPE;5.641111111111111;7.444444444444445;2;2
Baseline;Neutral;42SPE;6.685833333333332;5.833333333333333;2;2
Think;Disgust;42SPE;5.664000000000001;2.8;2;2
No-Think;Disgust;42SPE;5.279166666666668;2.5;2;2
Baseline;Disgust;42SPE;6.4079999999999995;2.4;2;2
Think;Neutral;44SMU;6.558333333333334;6.916666666666667;2;2
No-Think;Neutral;44SMU;6.695000000000001;6.666666666666667;2;2
Baseline;Neutral;44SMU;5.787999999999999;6.8;2;2
Think;Disgust;44SMU;6.907272727272727;4.7272727272727275;2;2
No-Think;Disgust;44SMU;6.98;4.111111111111111;2;2
Baseline;Disgust;44SMU;6.305833333333333;4.666666666666667;2;2
Think;Neutral;45MJA;6.355;6.2;2;2
No-Think;Neutral;45MJA;5.95875;5.875;2;2
Baseline;Neutral;45MJA;5.970000000000001;6.444444444444445;2;2
Think;Disgust;45MJA;5.994545454545454;4.0;2;2
No-Think;Disgust;45MJA;6.5600000000000005;4.1;2;2
Baseline;Disgust;45MJA;5.950000000000001;4.0;2;2
Think;Neutral;46SQU;6.544444444444443;5.555555555555555;2;2
No-Think;Neutral;46SQU;6.58;5.1;2;2
Baseline;Neutral;46SQU;5.956363636363636;4.545454545454546;2;2
Think;Disgust;46SQU;5.575454545454546;3.6363636363636362;2;2
No-Think;Disgust;46SQU;6.678888888888888;4.222222222222222;2;2
Baseline;Disgust;46SQU;6.792;3.4;2;2
Think;Neutral;47HMA;6.636666666666667;5.666666666666667;2;2
No-Think;Neutral;47HMA;6.300833333333333;6.0;2;2
Baseline;Neutral;47HMA;5.863333333333333;6.777777777777778;2;2
Think;Disgust;47HMA;5.636666666666668;2.4166666666666665;2;2
No-Think;Disgust;47HMA;5.519;3.9;2;2
Baseline;Disgust;47HMA;5.76875;2.875;2;2
Think;Neutral;50JOC;5.242222222222222;5.888888888888889;2;2
No-Think;Neutral;50JOC;5.608333333333333;5.0;2;2
Baseline;Neutral;50JOC;4.707272727272727;6.454545454545454;2;2
Think;Disgust;50JOC;5.965;3.5833333333333335;2;2
No-Think;Disgust;50JOC;5.793636363636363;4.0;2;2
Baseline;Disgust;50JOC;6.424545454545455;3.3636363636363638;2;2
Think;Neutral;52PFA;4.9075;5.0;2;2
No-Think;Neutral;52PFA;4.962727272727273;5.636363636363637;2;2
Baseline;Neutral;52PFA;5.696363636363636;5.363636363636363;2;2
Think;Disgust;52PFA;5.8660000000000005;3.7;2;2
No-Think;Disgust;52PFA;5.5058333333333325;3.8333333333333335;2;2
Baseline;Disgust;52PFA;4.815555555555556;4.0;2;2
Think;Neutral;53SMA;4.077500000000001;5.625;2;2
No-Think;Neutral;53SMA;3.954166666666666;5.25;2;2
Baseline;Neutral;53SMA;4.033636363636363;4.818181818181818;2;2
Think;Disgust;53SMA;4.385833333333333;3.4166666666666665;2;2
No-Think;Disgust;53SMA;4.232500000000001;3.25;2;2
Baseline;Disgust;53SMA;4.465454545454545;3.5454545454545454;2;2
Think;Neutral;55MNI;5.015454545454545;5.7272727272727275;2;2
No-Think;Neutral;55MNI;5.045555555555556;4.777777777777778;2;2
Baseline;Neutral;55MNI;5.1054545454545455;5.090909090909091;2;2
Think;Disgust;55MNI;5.487272727272726;3.090909090909091;2;2
No-Think;Disgust;55MNI;5.1259999999999994;3.1;2;2
Baseline;Disgust;55MNI;4.875;3.75;2;2
Think;Neutral;56BCL;5.230000000000001;4.818181818181818;2;2
No-Think;Neutral;56BCL;5.068333333333333;5.083333333333333;2;2
Baseline;Neutral;56BCL;5.196666666666666;5.166666666666667;2;2
Think;Disgust;56BCL;5.8500000000000005;3.8181818181818183;2;2
No-Think;Disgust;56BCL;6.232727272727273;4.090909090909091;2;2
Baseline;Disgust;56BCL;6.591818181818183;3.727272727272727;2;2
Think;Neutral;57NCO;5.400833333333334;5.833333333333333;2;2
No-Think;Neutral;57NCO;4.809166666666666;5.166666666666667;2;2
Baseline;Neutral;57NCO;5.2025;5.583333333333333;2;2
Think;Disgust;57NCO;4.7281818181818185;3.727272727272727;2;2
No-Think;Disgust;57NCO;5.04;3.5833333333333335;2;2
Baseline;Disgust;57NCO;5.423333333333333;3.6666666666666665;2;2
Think;Neutral;58BAN;5.699999999999999;4.777777777777778;2;2
No-Think;Neutral;58BAN;5.612;5.7;2;2
Baseline;Neutral;58BAN;5.286666666666666;5.5;2;2
Think;Disgust;58BAN;5.017272727272727;4.2727272727272725;2;2
No-Think;Disgust;58BAN;6.163636363636363;4.181818181818182;2;2
Baseline;Disgust;58BAN;5.02;4.181818181818182;2;2
Think;Neutral;59DIN;5.690833333333334;6.333333333333333;2;2
No-Think;Neutral;59DIN;5.261818181818182;5.7272727272727275;2;2
Baseline;Neutral;59DIN;5.269;6.1;2;2
Think;Disgust;59DIN;6.506666666666667;2.75;2;2
No-Think;Disgust;59DIN;5.126666666666666;3.4166666666666665;2;2
Baseline;Disgust;59DIN;4.9975000000000005;3.3333333333333335;2;2
Think;Neutral;60CAN;5.844444444444444;5.777777777777778;2;2
No-Think;Neutral;60CAN;5.231428571428572;6.857142857142857;2;2
Baseline;Neutral;60CAN;5.815714285714287;6.142857142857143;2;2
Think;Disgust;60CAN;5.835833333333333;3.1666666666666665;2;2
No-Think;Disgust;60CAN;5.319999999999999;3.2222222222222223;2;2
Baseline;Disgust;60CAN;5.450909090909091;3.272727272727273;2;2
